PMID,FAU
33240654,"Verma, Jaya # Mishra, Amar Shankar"
32108351,"Sun, Pengfei # Qie, Shuyan # Liu, Zongjian # Ren, Jizhen # Li, Kun # Xi, Jianing"
32032682,"Chen, Jieliang"
32808976,"Herroelen, Pauline H # Martens, Geert A # De Smet, Dieter # Swaerts, Koen # Decavele, An"
32352944,"Plusa, Tadeusz"
32048560,"Benvenuto, Domenico # Giovanetti, Marta # Salemi, Marco # Prosperi, Mattia # De Flora, Cecilia # Junior Alcantara, Luiz Carlos # Angeletti, Silvia # Ciccozzi, Massimo"
32681166,"Prilutskiy, Andrey # Kritselis, Michael # Shevtsov, Artem # Yambayev, Ilyas # Vadlamudi, Charitha # Zhao, Qing # Kataria, Yachana # Sarosiek, Shayna R # Lerner, Adam # Sloan, J Mark # Quillen, Karen # Burks, Eric J"
32418307,"Gupta, S # Parker, J # Smits, S # Underwood, J # Dolwani, S"
32022276,"Baruah, Vargab # Bose, Sujoy"
32692449,"Kuo, Irene C # O'Brien, Terrence P"
32094505,"Lucchese, Guglielmo"
32710733,"Saad Alharbi, Khalid # Al # Prasad Agrawal, Gopal # Sharma, Ajay # Kowti, Rajesh # Kazmi, Imran"
32080991,"Kim, Jin Yong # Ko, Jae Hoon # Kim, Yeonjae # Kim, Yae Jean # Kim, Jeong Min # Chung, Yoon Seok # Kim, Heui Man # Han, Myung Guk # Kim, So Yeon # Chin, Bum Sik"
32141570,"Meo, S A # Alhowikan, A M # Al # Meo, I M # Halepoto, D M # Iqbal, M # Usmani, A M # Hajjar, W # Ahmed, N"
32166600,"Gong, Fanghua # Xiong, Yong # Xiao, Jian # Lin, Li # Liu, Xiaodong # Wang, Dezhong # Li, Xiaokun"
32155431,"Xu, Yifei"
32170560,"Zou, Xin # Chen, Ke # Zou, Jiawei # Han, Peiyi # Hao, Jie # Han, Zeguang"
32194034,"Choon # Hoenig, Helen"
32007135,"Ji, John S"
32043978,"Thompson, Robin"
32492197,"Lotfi, Melika # Rezaei, Nima"
